Date,Close/Last,Volume,Open,High,Low
04/30/2021,4174.5,1849796,4200.75,4182.75,4167.25
04/29/2021,4203.4,1720930,4184.75,4205.25,4199
04/28/2021,4176.3,1252604,4180.25,4193.75,4172.75
04/27/2021,4178.9,963727,4181.5,4192.5,4166.75
04/26/2021,4179.4,989218,4170.75,4183.25,4176.25
04/23/2021,4171.5,1461431,4129,4186.75,4127.5
04/22/2021,4127.7,1924176,4157.5,4168.5,4115.25
04/21/2021,4164.8,1476724,4121.25,4167.25,4113
04/20/2021,4126.6,1664494,4156.25,4167.25,4110.5
04/19/2021,4155.5,1584699,4165,4174.75,4141.75
04/16/2021,4176.25,1243228,4162.75,4183.5,4154.25
04/15/2021,4162.4,1238347,4123.5,4166.5,4153.75
04/14/2021,4117.9,1495066,4134.75,4130.25,4113
04/13/2021,4132.8,1040626,4122.75,4139.75,4101.25
04/12/2021,4120.3,1045031,4114.25,4124.5,4104.5
04/09/2021,4119.5,1034843,4098,4121.5,4081
04/08/2021,4089,964989,4074.25,4098.5,4072.5
04/07/2021,4069.9,1071277,4067,4075.5,4058.25
04/06/2021,4064,1233658,4069.75,4076,4058.25
04/05/2021,4067.7,1206081,4030,4073.75,4021
